ID	Name	Concepticon_ID	Definition	LJ_rank	WOLD401_500_rank
1	fire	221	A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat.	1	
2	nose	1221	A generic noun for a human nose.	2	
3	go	695	A generic verb meaning 'go', i.e. move to a place away from one's current location.	3	
4	water	948	A generic noun for (fresh) water.	4	
5	mouth	674	A generic noun for a human mouth.	5	
6	tongue	1205	A generic noun for a human tongue.	6	
7	blood	946	A generic noun for arterial blood.	7	
8	bone	1394	A generic noun for 'bone', i.e. an individual piece of the vertebral skeleton.	7	
9	root	670	A generic noun for the root of a plant.	9	
10	you_sg	1215	Second-person singular pronoun.	9	
11	come	1446	A generic verb for 'come', i.e. move towards a person's current location.	11	
12	breast	1402	A generic noun for a female breast.	12	
13	rain	2108	A generic noun for precipitation.	13	
14	I	1209	First-person singular pronoun.	14	
15	louse	1392	A generic noun for the parasitic insect of the order Phthiraptera.	15	
16	name	1405	A generic noun for 'name', i.e. the designation of a person.	15	
17	wing	1257	A generic noun for 'wing', i.e. the body part of an animal used for flying or gliding.	17	
18	meat	2615	A generic noun for 'meat', i.e. the edible flesh of an animal.	18	
19	hand	1277	A generic noun for 'hand', i.e. the part of the body located at the end of the arm, below the wrist.	19	
20	fly_n	1504	A generic noun for the insect of the order Diptera.	20	
21	night	1233	A generic noun for 'night', i.e. the generally dark period of time that contrasts with 'day'.	20	
22	ear	1247	A generic noun for 'ear', i.e. the body part used for hearing.	22	
23	far	1406	A generic adverb for 'far', i.e. being distant from a reference point. Antonym of 'near'.	23	
24	neck	1333	A generic noun for 'neck', i.e. the part of the body below the head and above the torso.	23	
25	do	2575	A generic verb for performing an unspecified action.	25	
26	house	1252	A generic noun for 'house', i.e. a permanent manmade structure which serves as e.g. living quarters, meeting place, shelter or storage.	26	
27	stone	857	A generic verb for 'stone'.	27	
28	bitter	887	A generic adjective 'bitter', i.e. a sharp, pungent taste.	28	
29	say	1458	A generic verb for 'say', i.e. to express something verbally.	28	
30	tooth	1380	A generic noun for 'tooth', i.e. the hard white objects inside the mouth used for biting and chewing.	28	
31	hair	1040	A generic noun for 'hair', i.e. a threadlike growth on the skin of an animal or a human.	31	
32	big	1202	A generic adjective denoting large size. Antonym of 'small'.	32	
33	one	1493	A numeral with the value 1.	32	
34	he_she	2642	Third-person singular pronoun.	34	
35	who	1235	Interrogative singular personal pronoun.	34	
36	hit	1433	A generic verb for 'hit', i.e. strike an object.	36	
37	foot	1301	A generic noun for 'foot', i.e. the part of the leg below the ankle.	37	
38	leg	1297	A generic noun for 'leg', i.e. the part of the human body that supports the weight and is used in walking and running.	37	
39	fish	227	A generic noun for a live fish.	38	
40	horn	1393	A generic noun for 'horn', i.e. the bony pointed projection on the head of various animals.	38	
41	this	1214	Singular form proximal demonstrative pronoun.	38	
42	yesterday	1174	A generic noun for the day before today.	41	
43	black	163	A generic adjective for the color black.	42	
