"language"	"definition"	"uralex_mng"	"mng_item"	"lgid3"	"item"	"item_UPA"	"item_IPA"	"form_set"	"cogn_set"	"borr_source"	"borr_qual"	"etym_notes"	"ref_borr"	"glossing_notes"	"general_notes"	"ref_abbr"
"Proto-Uralic*"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	0	"*tuli̮"			1	"a"							"UEW, Sam88"
"South Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	101	"dålle"			1	"a"							"NSsNdb"
"Ume Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	102	"dålla"			1	"a"							"WbWlap"
"Pite Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	104	"dållå"			1	"a"							"EZ"
"North Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	105	"dolla"			1	"a"							"SSSg"
"Inari Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	106	"tulla"			1	"a"							"InsSSk"
"Skolt Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	107	"toll"			1	"a"							"SKosSk"
"Kildin Saami"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	108	"tōll"		"toːlː"	1	"a"							"WOLD"
"Standard Finnish"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	203	"tuli"		"t̪uli"	1	"a"							"JL"
"Karelian Proper"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	204	"tuli"			1	"a"							"KKSV"
"Veps"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	207	"lʹämoi"			2	"b"							"VVS"
"Veps"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	207	"tulʹi"			1	"a"							"VVS"
"Ingrian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	208	"tuli"	"tuli"	"tuli "	1	"a"							"InkmSk"
"Western Votic"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	209	"tuli"	"tuli"	"tuli "	1	"a"							"VKJMS"
"Standard Estonian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	210	"tuli"		"tuli"	1	"a"							"SVSk"
"Võro South Estonian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	211	"tuli"			1	"a"							"VESr"
"Courland Livonian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	212	"tuʾlʹ"			1	"a"							"LivWb"
"Erzya"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	301	"tol"	"tol"	"tol "	1	"a"							"MordWb"
"Meadow Mari"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	401	"tul"	"tul"	"tul "	1	"a"							"SMSk, TscherWb"
"Komi-Zyrian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	501	"bi"	"bi"	"bi"	3	"c"			"Possibly from PFU *päjwä"				"SyrjWsch"
"Komi-Permyak"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	503	"bi"	"bi"	"bi"	3	"c"			"Possibly from PFU *päjwä"				"KoPRSl"
"Udmurt"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	504	"ti̮l"	"ti̮l"	"tɯl "	1	"a"							"WotjWsch"
"Hungarian"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	601	"tűz"		"tyːz"	4	"d"							"FMSz"
"Sosva Mansi"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	701	"nāj"	"nāj"	"nɑːj "	6	"f"							"WogWb"
"Sosva Mansi"	"A generic noun meaning 'fire', i.e. a state of combustion which displays flames and emits heat."	"fire"	1	701	"ulʹa"	"ulʹa"	"uʎɑ "	5	"e"							"WogWb"
